"Name","Location","Leg","Day","Category","Rating","Link"
"טיילת הובוקן + Pier C Park","Pier C Park Hoboken NJ","New York & New Jersey","שלישי 14 ביולי","פעוטה-פרנדלי","4.8","https://www.hobokennj.gov/resources/pier-c-park"
"Liberty State Park","Liberty State Park","New York & New Jersey","שלישי 14 ביולי","כל המשפחה","4.7","https://dep.nj.gov/parksandforests/state-park/liberty-state-park/"
"שיטוט במונטקלייר + גלידה","Absolute Zero Ice Cream Montclair NJ","New York & New Jersey","שלישי 14 ביולי","רגוע","4.7","https://www.absoluteicecream.com/"
"South Mountain Reservation","South Mountain Reservation Fairy Trail Millburn NJ","New York & New Jersey","שלישי 14 ביולי","יעיר ועינת","4.7",""
"SPYSCAPE","SPYSCAPE New York","New York & New Jersey","רביעי 15 ביולי","מתבגרים","4.5","https://spyscape.com/"
"The Edge","The Edge Hudson Yards","New York & New Jersey","רביעי 15 ביולי","תצפית","4.6","https://www.edgenyc.com/"
"Museum of Ice Cream","Museum of Ice Cream New York","New York & New Jersey","רביעי 15 ביולי","כיף לכולם","4.2","https://www.museumoficecream.com/new-york"
"Gilder Center · AMNH","American Museum of Natural History","New York & New Jersey","רביעי 15 ביולי","כל המשפחה","4.6","https://www.amnh.org/exhibitions/permanent/gilder-center"
"גשר ברוקלין → DUMBO","Time Out Market New York DUMBO","New York & New Jersey","רביעי 15 ביולי","פוטוגני","4.5","https://www.timeout.com/time-out-market-new-york"
"SUMMIT One Vanderbilt","SUMMIT One Vanderbilt New York","New York & New Jersey","רביעי 15 ביולי","יעיר ועינת","4.7",""
"Color Factory","Color Factory New York","New York & New Jersey","רביעי 15 ביולי","יעיר ועינת","4.4",""
"Sloomoo Institute","Sloomoo Institute New York","New York & New Jersey","רביעי 15 ביולי","יעיר ועינת  ילדים","4.3",""
"DreamWorks Water Park","DreamWorks Water Park American Dream","New York & New Jersey","חמישי 16 ביולי","אקשן","4.3","https://www.americandream.com/venue/dreamworks-water-park"
"The Mills at Jersey Gardens","The Mills at Jersey Gardens","New York & New Jersey","חמישי 16 ביולי","שופינג","4.5","https://www.simon.com/mall/the-mills-at-jersey-gardens"
"Nickelodeon Universe + Big SNOW","American Dream Mall","New York & New Jersey","חמישי 16 ביולי","מקורה","","https://www.americandream.com/"
"סנטרל פארק + Columbus Circle","Central Park New York","New York & New Jersey","שישי 17 ביולי","רגוע","4.8","https://www.centralparknyc.org/"
"Top of the Rock","Top of the Rock New York","New York & New Jersey","שישי 17 ביולי","תצפית","4.7","https://www.rockefellercenter.com/attractions/top-of-the-rock-observation-deck/"
"Fifth Avenue + Times Square","Times Square New York","New York & New Jersey","שישי 17 ביולי","עיר","4.7",""
"Smorgasburg","Smorgasburg Williamsburg","New York & New Jersey","שבת 18 ביולי","כל המשפחה","4.5","https://www.smorgasburg.com/"
"Artists & Fleas","Artists and Fleas Williamsburg","New York & New Jersey","שבת 18 ביולי","מתבגרים","4.3","https://www.artistsandfleas.com/williamsburg/"
"מסע יד-שנייה ב-Bedford Ave","Beacon's Closet Brooklyn","New York & New Jersey","שבת 18 ביולי","אופנת רחוב","4.3","https://www.beaconscloset.com/"
"Brooklyn Flea","Brooklyn Flea DUMBO","New York & New Jersey","שבת 18 ביולי","יריד","4.1","https://www.brooklynflea.com/"
"Domino Park","Domino Park Brooklyn","New York & New Jersey","שבת 18 ביולי","יעיר ועינת","4.8",""
"Six Flags Great Adventure","Six Flags Great Adventure Jackson NJ","New York & New Jersey","ראשון 19 ביולי","Gold Pass","4.1","https://www.sixflags.com/greatadventure"
"Grounds For Sculpture","Grounds for Sculpture Hamilton NJ","New York & New Jersey","ראשון 19 ביולי","כל המשפחה","4.8","https://www.groundsforsculpture.org/"
"Sandy Hook","Sandy Hook Beach NJ","New York & New Jersey","ראשון 19 ביולי","פעוטה-פרנדלי","","https://www.nps.gov/gate/planyourvisit/sandy-hook.htm"
"Storm King Art Center","Storm King Art Center","New York & New Jersey","ראשון 19 ביולי","נוף עוצר נשימה","4.7","https://stormking.org/"
"Asbury Park Boardwalk","Asbury Park Boardwalk","New York & New Jersey","ראשון 19 ביולי","כיף לכולם","4.6","https://apboardwalk.com/"
"Blooming Hill Farm","Blooming Hill Farm Monroe NY","New York & New Jersey","ראשון 19 ביולי","יעיר ועינת","4.8",""
"Scribner's Catskill Lodge","Scribner's Catskill Lodge","New York & New Jersey","ראשון 19 ביולי","יעיר ועינת  גטאוויי","4.4",""
"Prospect Berkshires","Prospect Berkshires North Egremont","New York & New Jersey","ראשון 19 ביולי","יעיר ועינת  גטאוויי","4.8",""
"פסל החירות + Ellis Island","Statue of Liberty","New York & New Jersey","שני 20 ביולי","כל המשפחה","4.7","https://www.nps.gov/stli/"
"Intrepid Museum","Intrepid Museum New York","New York & New Jersey","שני 20 ביולי","מתבגרים","4.6","https://intrepidmuseum.org/"
"Chelsea Market + High Line","Chelsea Market New York","New York & New Jersey","שני 20 ביולי","כל המשפחה","4.6","https://www.chelseamarket.com/"
"Little Island","Little Island New York","New York & New Jersey","שני 20 ביולי","יעיר ועינת","4.7",""
